Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""",długość geograficzna,szerokość geograficzna,Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE)
P_178,P_178,013004692,013004692,14688,14688,"Przedszkole nr 178 ""Kolorowa Kraina""","Przedszkole nr 178 ""Kolorowa Kraina""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Saska Kępa,ul. Londyńska,10,03-921,Marzenna,Szeler,226176401,226176401,http://www.p178.przedszkola.net.pl,http://przedszkole178.bip.um.warszawa.pl,p178@edu.um.warszawa.pl,178,nie,jednostka budżetowa,0,145,145,0,6,6,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14688,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,06430817","52,23489745",,,736
P_179,P_179,013004924,013004924,14689,14689,"Przedszkole nr 179 ""Pozytywka""","Przedszkole nr 179 ""Pozytywka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocławek,ul. Jarocińska,12/14,04-171,Jolanta,Kostko,226104370,226104370,http://www.przedszkole179.edupage.org,http://przedszkole179.bip.um.warszawa.pl,p179@edu.um.warszawa.pl,179,nie,jednostka budżetowa,0,161,161,0,7,7,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14689,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,10666656","52,23966034",,,754
P_180,P_180,013004930,013004930,14690,14690,Przedszkole nr 180,Przedszkole nr 180,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Saska Kępa,ul. Niekłańska,40,03-924,Agnieszka,Górzyńska-Kępka,226176732,226174485,http://www.przedszkolenr180.edupage.org,http://przedszkole180.bip.um.warszawa.pl,p180@edu.um.warszawa.pl,180,nie,jednostka budżetowa,0,163,163,0,8,8,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Saska 78,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14690,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,06027031","52,23739547",,,755
P_181,P_181,012047009,012047009,23477,23477,"Przedszkole nr 181 ""Wesołe Nutki""","Przedszkole nr 181 ""Wesołe Nutki""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Stare Bielany,ul. Ksawerego Pruszyńskiego,5,01-870,Katarzyna,Gołacka,228341630,226398535,http://www.wesolenutki.waw.pl,http://przedszkole181.bip.um.warszawa.pl,p181@edu.um.warszawa.pl,181,nie,jednostka budżetowa,0,125,125,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/23477,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,95819283","52,27940457",,,487
P_182,P_182,012525489,012525489,23478,23478,"Przedszkole nr 182 ""Tajemniczy Ogród""","Przedszkole nr 182 ""Tajemniczy Ogród""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Słodowiec,ul. Zofii Nałkowskiej,3,01-886,Agnieszka,Borowa,226696685,226696685,http://www.przedszkole182.waw.pl,http://przedszkole182.bip.um.warszawa.pl,p182@edu.um.warszawa.pl,182,nie,jednostka budżetowa,0,177,177,0,7,7,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/23478,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,95648384","52,27497314",,,535
P_183,P_183,013001469,013001469,20114,20114,Przedszkole nr 183,Przedszkole nr 183,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Stara Praga,ul. Jagiellońska,28,03-719,Lidia,Kołodziej,226193645,226193645,http://www.p183.warszawa.szkolnastrona.pl,http://przedszkole183.bip.um.warszawa.pl,p183@edu.um.warszawa.pl,183,nie,jednostka budżetowa,0,148,148,0,6,6,nie,nie,nie,nie,nie,nie,nie,nie,nie,"Na czas rewitalizacji budynku przy ul. Jagiellońskiej 28, zajęcia realizowane są w oddziale zamiejscowym na ul. Wrzesińskiej 10. oddział zamiejscowy przedszkola: ul. Wrzesińska 10",samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/20114,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03602219","52,26136009",,tak,605
P_184,P_184,013000978,013000978,20109,20109,Przedszkole nr 184,Przedszkole nr 184,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Nowa Praga,ul. Ratuszowa,21,03-451,Anna,Dużyńska,226198196,226198196,http://www.p184.edu.pl,http://przedszkole184.bip.um.warszawa.pl,p184@edu.um.warszawa.pl,184,nie,jednostka budżetowa,0,119,119,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/20109,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03516769","52,26044352",,tak,562
P_185,P_185,013001446,013001446,20112,20112,Przedszkole nr 185 z Oddziałami Integracyjnymi,Przedszkole nr 185 z Oddziałami Integracyjnymi,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Szmulowizna,ul. Wołomińska,56,03-755,Renata,Woźniak,226198700,226198700,http://www.185przedszkole.pl,http://przedszkole185.bip.um.warszawa.pl,p185@edu.um.warszawa.pl,185,nie,jednostka budżetowa,0,98,98,0,5,5,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/20112,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,05618286","52,26190079",,tak,603
P_186,P_186,013001498,013001498,20113,20113,Przedszkole nr 186,Przedszkole nr 186,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Szmulowizna,ul. Wołomińska,12/18,03-740,Dominika,Kępka,226190605,226190605,http://www.sportusie.pl,http://przedszkole186.bip.um.warszawa.pl,p186@edu.um.warszawa.pl,186,nie,jednostka budżetowa,0,208,208,0,9,9,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Siedlecka 12/14,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/20113,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,05287361","52,25794801",,tak,607
P_189,P_189,013002405,013002405,49232,49232,"Przedszkole nr 189 ""Na Wierzbnie""","Przedszkole nr 189 ""Na Wierzbnie""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Teofila Lenartowicza,27,02-614,Joanna,Waszczuk,228440427,228440427,http://www.przedszkole189.com,http://przedszkole189.bip.um.warszawa.pl,p189@edu.um.warszawa.pl,189,nie,jednostka budżetowa,0,91,91,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/49232,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,01741219","52,19185222",,,660
P_190,P_190,013002411,013002411,40536,40536,Przedszkole nr 190,Przedszkole nr 190,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Stary Mokotów,ul. Racławicka,30A,02-601,Agnieszka,Romanowska,228441174,228441174,http://p190.przedszkola.net.pl,https://p190.info-bip.pl,p190@edu.um.warszawa.pl,190,nie,jednostka budżetowa,0,121,121,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/40536,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,01424789","52,19877403",,,661
P_191,P_191,013002428,013002428,41976,41976,Przedszkole nr 191 im. Marii Kownackiej,Przedszkole nr 191 im. Marii Kownackiej,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Ksawerów,ul. Zawrat,22,02-702,Joanna,Kotarska,228431972,228431972,http://www.przedszkole191.waw.pl,http://przedszkole191.bip.um.warszawa.pl,p191@edu.um.warszawa.pl,191,nie,jednostka budżetowa,0,99,99,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/41976,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,02694321","52,18787541",,,662
P_192,P_192,010275284,010275284,110244,110244,"Przedszkole nr 192 ""Wesoły Pędzelek""","Przedszkole nr 192 ""Wesoły Pędzelek""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Białołęka,Żerań,ul. Liczydło,3A,03-183,Iwona,Fabiszewska,228119040,228119040,http://www.przedszkole192.warszawa.pl,http://przedszkole192.bip.um.warszawa.pl,sekretariat@przedszkole192.warszawa.pl,192,nie,jednostka budżetowa,0,373,373,0,16,16,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Dionizosa 12,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/110244,,Poradnia Psychologiczno-Pedagogiczna nr 21,,,"20,97949791","52,31369949",,,439
P_193,P_193,013002440,013002440,53469,53469,"Przedszkole nr 193 ""Mokotowskie Nutki""","Przedszkole nr 193 ""Mokotowskie Nutki""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Antoniego Edwarda Odyńca,61,02-644,Emilia,Janowska,228443864,228443864,http://www.przedszkole193.pl,http://przedszkole193.bip.um.warszawa.pl,p193@edu.um.warszawa.pl,193,nie,jednostka budżetowa,0,99,99,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/53469,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,00988579","52,19543624",,,663
P_194,P_194,013006395,013006395,75743,75743,Przedszkole nr 194,Przedszkole nr 194,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursus,Skorosze,ul. Walerego Sławka,7,02-495,Renata,Trzepizur,222772141,226674344,https://pl-pl.facebook.com/PrzedszkoleNr194/,http://przedszkole194.bip.um.warszawa.pl,p194@edu.um.warszawa.pl,194,nie,jednostka budżetowa,0,274,274,0,10,10,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Konińska 2,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/75743,,Poradnia Psychologiczno-Pedagogiczna nr 15,,,"20,89622688","52,19370727",,,785
P_196,P_196,013002457,013002457,42347,42347,"Przedszkole nr 196 ""Kraina Misiów""","Przedszkole nr 196 ""Kraina Misiów""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Sielce,ul. Ludwika Nabielaka,18A,00-743,Agnieszka,Wojdal,228414475,228414475,http://www.przedszkole196.edu.pl,http://przedszkole196.bip.um.warszawa.pl,p196@edu.um.warszawa.pl,196,nie,jednostka budżetowa,0,99,99,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/42347,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,03493881","52,20631929",,,664
P_197,P_197,012524679,012524679,19697,19697,"Przedszkole nr 197 ""Do-Re-Mi""","Przedszkole nr 197 ""Do-Re-Mi""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Sady Żoliborskie,ul. ks. Jerzego Popiełuszki,3A,01-786,Małgorzata,Pacuła,226638706,226638706,http://www.doremi.waw.pl,http://przedszkole197.bip.um.warszawa.pl,p197@edu.um.warszawa.pl,197,nie,jednostka budżetowa,0,118,118,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/19697,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,97714996","52,26442783",,,521
P_198,P_198,013004947,013004947,14691,14691,"Przedszkole nr 198 z Oddziałami Integracyjnymi ""Bajeczne Przedszkole ""","Przedszkole nr 198 z Oddziałami Integracyjnymi ""Bajeczne Przedszkole """,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocław,ul. Grzegorza Przemyka,5,03-982,Małgorzata,Mędrek,226710676,226710676,http://przedszkole198.edu.pl,http://przedszkole198.bip.um.warszawa.pl,p198@edu.um.warszawa.pl,198,nie,jednostka budżetowa,0,171,171,0,8,8,nie,tak,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. gen. Romana Abrahama 10,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14691,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,08139432","52,22885058",,,756
P_199,P_199,013002463,013002463,40517,40517,Przedszkole nr 199,Przedszkole nr 199,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wierzbno,ul. Bukietowa,10,02-650,Joanna,Malesa,228445822,228445822,http://www.przedszkole199.waw.pl/,http://przedszkole199.bip.um.warszawa.pl,p199@edu.um.warszawa.pl,199,nie,jednostka budżetowa,0,75,75,0,3,3,nie,nie,nie,nie,nie,nie,nie,nie,nie,"lokalizacja tymczasowa (na czas remontu budynku siedziby): ul. Abramowskiego 4, Mokotów",samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/40517,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"21,0121994","52,191779",,,665
P_200,P_200,013006389,013006389,111909,111909,"Przedszkole nr 200 ""Gąski Balbinki""","Przedszkole nr 200 ""Gąski Balbinki""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursus,Skorosze,ul. Balbinki,1,02-495,Małgorzata,Kopp,222772120,,http://www.przedszkole200.pl/,http://przedszkole200.bip.um.warszawa.pl,p200@edu.um.warszawa.pl,200,nie,jednostka budżetowa,0,271,271,0,10,10,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Walerego Sławka 9,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/111909,,Poradnia Psychologiczno-Pedagogiczna nr 15,,,"20,89630508","52,19224065",,,784
P_201,P_201,015206968,015206968,17767,17767,"Przedszkole nr 201 ""Misia Ursynka""","Przedszkole nr 201 ""Misia Ursynka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Kabaty,ul. Wilczy Dół,4,02-798,Anna,Zabielska,226491999,226491999,http://www.przedszkole201.nogard.pl,http://www.bip.p201w-wa.wikom.pl,przedszkole201@op.pl,201,nie,jednostka budżetowa,0,189,189,0,8,8,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Polnej Róży 1,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/17767,,Poradnia Psychologiczno-Pedagogiczna nr 19,,,"21,05764198","52,12856776",,,838
P_205,P_205,013001334,013001334,12598,12598,Przedszkole nr 205,Przedszkole nr 205,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Północne,ul. Karola Irzykowskiego,1,01-317,Dorota,Wolska,226651676,226651676,http://www.przedszkole205.pl,http://przedszkole205.bip.um.warszawa.pl,p205@edu.um.warszawa.pl,205,nie,jednostka budżetowa,0,124,124,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/12598,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,90446091","52,23090558",,,593
P_206,P_206,013004456,013004456,34637,34637,Przedszkole nr 206,Przedszkole nr 206,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Śródmieście,Nowe Miasto,ul. Franciszkańska,7,00-233,Katarzyna,Wojnarowicz,228313705,228313705,http://www.przedszkole206.waw.pl,http://przedszkole206.bip.um.warszawa.pl,p206@edu.um.warszawa.pl,206,nie,jednostka budżetowa,0,100,100,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/34637,,Poradnia Psychologiczno-Pedagogiczna nr 12,,,"21,00412369","52,25238832",,,721
P_209,P_209,010134359,010134359,19224,19224,"Przedszkole Integracyjne nr 209 ""Zaczarowane Ziarenko""","Przedszkole Integracyjne nr 209 ""Zaczarowane Ziarenko""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Koło,ul. Deotymy,52,01-409,Agnieszka,Bartosiewicz,228364073,228364073,http://przedszkole.integracyjne209.edu.pl/,http://przedszkoleintegracja.ssdip.bip.gov.pl,p209@edu.um.warszawa.pl,209,nie,jednostka budżetowa,0,60,60,0,3,3,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/19224,,Poradnia Psychologiczno – Pedagogiczna nr 14,,,"20,94832039","52,24452416",,,423
P_211,P_211,013004953,013004953,14692,14692,Przedszkole nr 211 im. Kubusia Puchatka,Przedszkole nr 211 im. Kubusia Puchatka,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Saska Kępa,ul. Dąbrówki,20,03-909,Katarzyna,Surma,226175383,226175383,http://www.przedszkole211.waw.pl,http://przedszkole211.bip.um.warszawa.pl,p211@edu.um.warszawa.pl,211,nie,jednostka budżetowa,0,163,163,0,7,7,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14692,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,05605698","52,23676759",,,757
P_212,P_212,012524662,012524662,19702,19702,Przedszkole nr 212,Przedszkole nr 212,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Stary Żoliborz,ul. Czesława Ludwika Rybińskiego,2,01-611,Katarzyna,Pernach-Brzostek,228398867,228398867,http://p212waw.edupage.org,http://przedszkole212.bip.um.warszawa.pl,p212@edu.um.warszawa.pl,212,nie,jednostka budżetowa,0,178,178,0,7,7,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/19702,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,98644829","52,27232223",,,520
P_214,P_214,013001340,013001340,12609,12609,Przedszkole nr 214 im. Janiny Krzemińskiej,Przedszkole nr 214 im. Janiny Krzemińskiej,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Północne,ul. gen. Waleriana Czumy,6,01-355,Bożena,Miękus,226651758,226651758,http://www.p214.pl,http://przedszkole214.bip.um.warszawa.pl,p214@edu.um.warszawa.pl,214,nie,jednostka budżetowa,0,240,240,0,10,10,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/12609,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,91158485","52,2363985",,,594
P_215,P_215,013000790,013000790,7347,7347,Przedszkole nr 215,Przedszkole nr 215,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Północne,ul. Eugeniusza Szwankowskiego,3,01-318,Lidia,Grabiec,226641601,226641601,http://www.przedszkole215.edupage.org,http://przedszkole215.bip.um.warszawa.pl,p215@edu.um.warszawa.pl,215,nie,jednostka budżetowa,0,108,108,0,5,5,nie,tak,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/7347,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,89991951","52,23343042",,,555
P_216,P_216,013001357,013001357,6834,6834,Przedszkole nr 216,Przedszkole nr 216,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Bemowo-Lotnisko,ul. Michała Elwira Andriollego,1,01-494,Hanna,Waluśkiewicz,226381941,226381941,http://przedszkole216.pl,http://przedszkole216.bip.um.warszawa.pl,p216@edu.um.warszawa.pl,216,nie,jednostka budżetowa,0,293,293,0,12,12,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/6834,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,92798996","52,25188071",,,595
P_217,P_217,013001558,013001558,20104,20104,Przedszkole nr 217,Przedszkole nr 217,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Północ,Nowa Praga,ul. Karola Szymanowskiego,4A,03-477,Dorota,Krakowska,226194169,226194169,http://przedszkole.217.pl,http://przedszkole217.bip.um.warszawa.pl,p217@edu.um.warszawa.pl,217,nie,jednostka budżetowa,0,97,97,0,4,4,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/20104,,Poradnia Psychologiczno-Pedagogiczna nr 5,,,"21,03308868","52,26164146",,tak,610
P_218,P_218,013004976,013004976,14693,14693,"Przedszkole nr 218 ""Iskra""","Przedszkole nr 218 ""Iskra""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocław,ul. Tadeusza Rechniewskiego,5B,03-980,Iwona,Karolewska,226715999,226714192,https://przedszkole218iskra.edupage.org,http://przedszkole218.bip.um.warszawa.pl,p218@edu.um.warszawa.pl,218,nie,jednostka budżetowa,0,207,207,0,9,9,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Władysława Umińskiego 20A,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14693,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,10208321","52,22761641",,,759
P_219,P_219,013006432,013006432,111910,111910,"Przedszkole nr 219 ""Niezapominajka""","Przedszkole nr 219 ""Niezapominajka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursus,Niedźwiadek,ul. Mariana Keniga,16,02-495,Dorota,Kamińska,222772115,,http://p219.waw.pl,http://przedszkole219.bip.um.warszawa.pl,p219@edu.um.warszawa.pl,219,nie,jednostka budżetowa,0,273,273,0,10,10,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Mariana Keniga 20,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/111910,,Poradnia Psychologiczno-Pedagogiczna nr 15,,,"20,86978531","52,19642292",,,788
P_220,P_220,013004960,013004960,14694,14694,Przedszkole nr 220,Przedszkole nr 220,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Grochów,ul. Walewska,7,04-022,Marzenna,Turczyńska,228100582,,http://przedszkole220.pl,http://przedszkole220.bip.um.warszawa.pl,p220@edu.um.warszawa.pl,220,nie,jednostka budżetowa,0,177,177,0,9,9,nie,nie,nie,nie,nie,nie,nie,nie,nie,oddział zamiejscowy przedszkola: ul. Walewska 7A,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/14694,,Poradnia Psychologiczno-Pedagogiczna nr 4,,,"21,07686424","52,24112255",,,758
P_222,P_222,013000837,013000837,12622,12622,Przedszkole nr 222,Przedszkole nr 222,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Północne,ul. Kazimierza Wyki,17,01-318,Katarzyna,Ciszewska-Pawińska,226651366,226651366,http://przedszkole222.pl,http://przedszkole222.bip.um.warszawa.pl,p222@edu.um.warszawa.pl,222,nie,jednostka budżetowa,0,125,125,0,5,5,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,https://rspo.men.gov.pl/rspo/12622,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,8997879","52,22964433",,,558
